Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Core Processor","Core Size","Speed","Connectivity","Peripherals","Number of I/O","Program Memory Size","Program Memory Type","EEPROM Size","RAM Size","Voltage - Supply (Vcc/Vdd)","Data Converters","Oscillator Type","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
"https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel_32-bit-ARM7TDMI-Flash-Microcontroller_SAM7X512-256-128_Datasheet.pdf","//media.digikey.com/Renders/Atmel%20Renders/313;100LQFP-1.6-14x14;;100.jpg","AT91SAM7X256C-AU-ND","AT91SAM7X256C-AU","Microchip Technology","Microchip Technology","IC MCU 16/32B 256KB FLSH 100LQFP","3,160","13.64","0","1","Tray","SAM7X","Active","ARM7®","16/32-Bit","55MHz","CANbus, Ethernet, I²C, SPI, SSC, UART/USART, USB","Brown-out Detect/Reset, DMA, POR, PWM, WDT","62","256KB (256K x 8)","FLASH","-","64K x 8","1.65V ~ 1.95V","A/D 8x10b","Internal","-40°C ~ 85°C (TA)","Surface Mount","100-LQFP","100-LQFP (14x14)"
"https://ww1.microchip.com/downloads/en/DeviceDoc/PIC32MZ-Embedded-Connectivity-with-Floating-Point-Unit-Family-Data-Sheet-DS60001320H.pdf","//media.digikey.com/Renders/Microchip%20Tech%20Renders/100-TQFP-PT.jpg","PIC32MZ1024EFG100-I/PT-ND","PIC32MZ1024EFG100-I/PT","Microchip Technology","Microchip Technology","IC MCU 32BIT 1MB FLASH 100TQFP","3,796","14.97","0","1","Tray","PIC® 32MZ","Active","MIPS32® M-Class","32-Bit Single-Core","200MHz","EBI/EMI, Ethernet, I²C, PMP, SPI, SQI, UART/USART, USB OTG","Brown-out Detect/Reset, DMA, I²S, POR, PWM, WDT","78","1MB (1M x 8)","FLASH","-","512K x 8","2.1V ~ 3.6V","A/D 40x12b","Internal","-40°C ~ 85°C (TA)","Surface Mount","100-TQFP","100-TQFP (12x12)"
"https://ww1.microchip.com/downloads/aemDocuments/documents/MCU32/ProductDocuments/DataSheets/SAM-E70-S70-V70-V71-Family-Data-Sheet-DS60001527.pdf","//media.digikey.com/Renders/Microchip%20Tech%20Renders/150;144LFBGA-1.4-10x10;;144.jpg","ATSAME70Q20A-CNTTR-ND,ATSAME70Q20A-CNTCT-ND,ATSAME70Q20A-CNTDKR-ND","ATSAME70Q20A-CNT","Microchip Technology","Microchip Technology","IC MCU 32BIT 1MB FLASH 144LFBGA","1,480","18.63","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","SAM E70","Active","ARM® Cortex®-M7","32-Bit Single-Core","300MHz","CANbus, EBI/EMI, Ethernet, I²C, IrDA, LINbus, MMC/SD/SDIO, QSPI, SPI, UART/USART, USB","Brown-out Detect/Reset, DMA, I²S, POR, PWM, WDT","114","1MB (1M x 8)","FLASH","-","384K x 8","1.62V ~ 3.6V","A/D 24x12b; D/A 2x12b","Internal","-40°C ~ 105°C (TA)","Surface Mount","144-LFBGA","144-LFBGA (10x10)"
"https://ww1.microchip.com/downloads/en/DeviceDoc/PIC32MZ-Embedded-Connectivity-with-Floating-Point-Unit-Family-Data-Sheet-DS60001320H.pdf","//media.digikey.com/Renders/Microchip%20Tech%20Renders/150~64TQFP-10x10~~64.JPG","PIC32MZ2048EFH064-I/PT-ND","PIC32MZ2048EFH064-I/PT","Microchip Technology","Microchip Technology","IC MCU 32BIT 2MB FLASH 64TQFP","0","16.13","0","1","Tray","PIC® 32MZ","Active","MIPS32® M-Class","32-Bit Single-Core","200MHz","CANbus, Ethernet, I²C, PMP, SPI, SQI, UART/USART, USB OTG","Brown-out Detect/Reset, DMA, I²S, POR, PWM, WDT","46","2MB (2M x 8)","FLASH","-","512K x 8","2.1V ~ 3.6V","A/D 24x12b","Internal","-40°C ~ 85°C (TA)","Surface Mount","64-TQFP","64-TQFP (10x10)"
"https://www.st.com/resource/en/datasheet/stm32h725ag.pdf","//media.digikey.com/Renders/STMicro%20Renders/497;-A0E7-176+25;-H;-201.jpg","497-STM32H725IGK6-ND","STM32H725IGK6","STMicroelectronics","STMicroelectronics","IC MCU 32BIT 1MB FLASH 176UFBGA","712","17.06","0","1","Tray","STM32H7","Active","ARM® Cortex®-M7","32-Bit Single-Core","550MHz","CANbus, EBI/EMI, Ethernet, I²C, IrDA, LINbus, MDIO, MMC/SD/SDIO, QSPI, SAI, SPDIF, SPI, SWPMI, UART/USART, USB OTG","Brown-out Detect/Reset, DMA, I²S, LCD, POR, PWM, WDT","128","1MB (1M x 8)","FLASH","-","564K x 8","1.62V ~ 3.6V","A/D 12x12/b, 22x16b; D/A 2x12b","Internal","-40°C ~ 85°C (TA)","Surface Mount","201-UFBGA","176+25UFBGA (10x10)"
"http://www.wiznet.io/wp-content/uploads/wiznethome/Chip/W7100A/Document/W7100A_DS_V125E.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/100-LQFP.jpg","1278-1032-ND","W7100A-S2E-100","WIZnet","WIZnet","IC MCU 8BIT 64KB FLASH 100LQFP","318","17.12","0","1","Tray","-","Active","8051","8-Bit","25MHz","EBI/EMI, Ethernet, UART/USART","LED, WDT","32","64KB (64K x 8)","FLASH","256 x 8","64K x 8","3V ~ 3.6V","-","-","-40°C ~ 80°C (TA)","Surface Mount","100-LQFP","100-LQFP (14x14)"
"https://www.st.com/resource/en/datasheet/stm32f205vg.pdf","//media.digikey.com/Renders/STMicro%20Renders/497;-A0E7-176+25;-H;-201.jpg","497-18528-ND","STM32F207IEH6","STMicroelectronics","STMicroelectronics","IC MCU 32BIT 512KB FLSH 176UFBGA","2,978","17.23","0","1","Tray","STM32F2","Active","ARM® Cortex®-M3","32-Bit Single-Core","120MHz","CANbus, Ethernet, I²C, IrDA, LINbus, Memory Card, SPI, UART/USART, USB OTG","Brown-out Detect/Reset, DMA, I²S, LCD, POR, PWM, WDT","140","512KB (512K x 8)","FLASH","-","132K x 8","1.8V ~ 3.6V","A/D 24x12b; D/A 2x12b","Internal","-40°C ~ 85°C (TA)","Surface Mount","201-UFBGA","176+25UFBGA (10x10)"
"https://ww1.microchip.com/downloads/en/DeviceDoc/PIC32MZ-Embedded-Connectivity-with-Floating-Point-Unit-Family-Data-Sheet-DS60001320H.pdf","//media.digikey.com/Renders/Microchip%20Tech%20Renders/150~C04-110~PF~100.jpg","PIC32MZ2048EFH100-I/PF-ND","PIC32MZ2048EFH100-I/PF","Microchip Technology","Microchip Technology","IC MCU 32BIT 2MB FLASH 100TQFP","197","17.7","0","1","Tray","PIC® 32MZ","Active","MIPS32® M-Class","32-Bit Single-Core","200MHz","CANbus, EBI/EMI, Ethernet, I²C, PMP, SPI, SQI, UART/USART, USB OTG","Brown-out Detect/Reset, DMA, I²S, POR, PWM, WDT","78","2MB (2M x 8)","FLASH","-","512K x 8","2.1V ~ 3.6V","A/D 40x12b","Internal","-40°C ~ 85°C (TA)","Surface Mount","100-TQFP","100-TQFP (14x14)"
"https://ww1.microchip.com/downloads/en/DeviceDoc/PIC32MZ-Embedded-Connectivity-with-Floating-Point-Unit-Family-Data-Sheet-DS60001320H.pdf","//media.digikey.com/Renders/Microchip%20Tech%20Renders/150~64TQFP-10x10~~64.JPG","PIC32MZ2048EFH064-E/PT-ND","PIC32MZ2048EFH064-E/PT","Microchip Technology","Microchip Technology","IC MCU 32BIT 2MB FLASH 64TQFP","743","17.74","0","1","Tray","Automotive, AEC-Q100, PIC® 32MZ","Active","MIPS32® M-Class","32-Bit Single-Core","180MHz","CANbus, Ethernet, I²C, PMP, SPI, SQI, UART/USART, USB OTG","Brown-out Detect/Reset, DMA, I²S, POR, PWM, WDT","46","2MB (2M x 8)","FLASH","-","512K x 8","2.1V ~ 3.6V","A/D 24x12b","Internal","-40°C ~ 125°C","Surface Mount","64-TQFP","64-TQFP (10x10)"
"https://ww1.microchip.com/downloads/en/DeviceDoc/PIC32MZ-Embedded-Connectivity-with-Floating-Point-Unit-Family-Data-Sheet-DS60001320H.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","PIC32MZ2048EFG144-I/PL-ND","PIC32MZ2048EFG144-I/PL","Microchip Technology","Microchip Technology","IC MCU 32BIT 2MB FLASH 144LQFP","1,481","18.41","0","1","Tray","PIC® 32MZ","Active","MIPS32® M-Class","32-Bit Single-Core","200MHz","EBI/EMI, Ethernet, I²C, PMP, SPI, SQI, UART/USART, USB OTG","Brown-out Detect/Reset, DMA, I²S, POR, PWM, WDT","120","2MB (2M x 8)","FLASH","-","512K x 8","2.1V ~ 3.6V","A/D 48x12b","Internal","-40°C ~ 85°C (TA)","Surface Mount","144-LQFP","144-LQFP (20x20)"
"https://ww1.microchip.com/downloads/en/DeviceDoc/PIC32MZ-Embedded-Connectivity-with-Floating-Point-Unit-Family-Data-Sheet-DS60001320H.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-LQFP.jpg","PIC32MZ2048EFH144-I/PL-ND","PIC32MZ2048EFH144-I/PL","Microchip Technology","Microchip Technology","IC MCU 32BIT 2MB FLASH 144LQFP","778","18.7","0","1","Tray","PIC® 32MZ","Active","MIPS32® M-Class","32-Bit Single-Core","200MHz","CANbus, EBI/EMI, Ethernet, I²C, PMP, SPI, SQI, UART/USART, USB OTG","Brown-out Detect/Reset, DMA, I²S, POR, PWM, WDT","120","2MB (2M x 8)","FLASH","-","512K x 8","2.1V ~ 3.6V","A/D 48x12b","Internal","-40°C ~ 85°C (TA)","Surface Mount","144-LQFP","144-LQFP (20x20)"
"https://ww1.microchip.com/downloads/en/DeviceDoc/PIC32MZ-Embedded-Connectivity-with-Floating-Point-Unit-Family-Data-Sheet-DS60001320H.pdf","//media.digikey.com/Renders/Microchip%20Tech%20Renders/150~C04-110~PF~100.jpg","PIC32MZ2048EFM100-E/PF-ND","PIC32MZ2048EFM100-E/PF","Microchip Technology","Microchip Technology","IC MCU 32BIT 2MB FLASH 100TQFP","878","19.71","0","1","Tray","Automotive, AEC-Q100, PIC® 32MZ","Active","MIPS32® M-Class","32-Bit Single-Core","180MHz","CANbus, EBI/EMI, Ethernet, I²C, PMP, SPI, SQI, UART/USART, USB OTG","Brown-out Detect/Reset, DMA, I²S, POR, PWM, WDT","78","2MB (2M x 8)","FLASH","-","512K x 8","2.1V ~ 3.6V","A/D 40x12b","Internal","-40°C ~ 125°C","Surface Mount","100-TQFP","100-TQFP (14x14)"
"https://ww1.microchip.com/downloads/en/DeviceDoc/PIC32MZ-Embedded-Connectivity-with-Floating-Point-Unit-Family-Data-Sheet-DS60001320H.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-TQFP.jpg","PIC32MZ2048EFH144-250I/PH-ND","PIC32MZ2048EFH144-250I/PH","Microchip Technology","Microchip Technology","IC MCU 32BIT 2MB FLASH 144TQFP","6,475","19.84","0","1","Tray","PIC® 32MZ","Active","MIPS32® M-Class","32-Bit Single-Core","252MHz","CANbus, EBI/EMI, Ethernet, I²C, PMP, SPI, SQI, UART/USART, USB OTG","Brown-out Detect/Reset, DMA, I²S, POR, PWM, WDT","120","2MB (2M x 8)","FLASH","-","512K x 8","2.1V ~ 3.6V","A/D 48x12b","Internal","-40°C ~ 85°C (TA)","Surface Mount","144-TQFP","144-TQFP (16x16)"
"https://ww1.microchip.com/downloads/en/DeviceDoc/PIC32MZ-Embedded-Connectivity-with-Floating-Point-Unit-Family-Data-Sheet-DS60001320H.pdf","//media.digikey.com/Renders/Microchip%20Tech%20Renders/150;C04-429;JWX;144.jpg","PIC32MZ2048EFH144-E/JWX-ND","PIC32MZ2048EFH144-E/JWX","Microchip Technology","Microchip Technology","IC MCU 32BIT 2MB FLASH 144TFBGA","0","20.03","0","1","Tray","Automotive, AEC-Q100, PIC® 32MZ","Active","MIPS32® M-Class","32-Bit Single-Core","180MHz","CANbus, EBI/EMI, Ethernet, I²C, PMP, SPI, SQI, UART/USART, USB OTG","Brown-out Detect/Reset, DMA, I²S, POR, PWM, WDT","120","2MB (2M x 8)","FLASH","-","512K x 8","2.1V ~ 3.6V","A/D 48x12b","Internal","-40°C ~ 125°C (TA)","Surface Mount","144-TFBGA","144-TFBGA (7x7)"
"https://www.infineon.com/dgdl/Infineon-XMC4700-XMC4800-DS-v01_00-EN.pdf?fileId=5546d462518ffd850151908ea8db00b3","//media.digikey.com/Renders/Infineon%20Renders/448;P_PG-LQFP-100-25;;100.jpg","XMC4700F100K1536AAXQMA1-ND","XMC4700F100K1536AAXQMA1","Infineon Technologies","Infineon Technologies","IC MCU 32BIT 1.5MB FLASH 100LQFP","142","20.12","0","1","Tray","XMC4000","Active","ARM® Cortex®-M4","32-Bit Single-Core","144MHz","CANbus, EBI/EMI, Ethernet, I²C, LINbus, MMC/SD, SPI, UART/USART, USB OTG, USIC","DMA, I²S, LED, POR, Touch-Sense, WDT","75","1.5MB (1.5M x 8)","FLASH","-","276K x 8","3.13V ~ 3.63V","A/D 24x12b; D/A 2x12b","External","-40°C ~ 125°C (TA)","Surface Mount","100-LQFP Exposed Pad","PG-LQFP-100-25"
"https://ww1.microchip.com/downloads/aemDocuments/documents/MCU32/ProductDocuments/DataSheets/SAM-E70-S70-V70-V71-Family-Data-Sheet-DS60001527.pdf","//media.digikey.com/Renders/Microchip%20Tech%20Renders/150;144LFBGA-1.4-10x10;;144.jpg","ATSAME70Q21A-CN-ND","ATSAME70Q21A-CN","Microchip Technology","Microchip Technology","IC MCU 32BIT 2MB FLASH 144LFBGA","0","22.45","0","1","Tray","SAM E70","Active","ARM® Cortex®-M7","32-Bit Single-Core","300MHz","CANbus, EBI/EMI, Ethernet, I²C, IrDA, LINbus, MMC/SD/SDIO, QSPI, SPI, UART/USART, USB","Brown-out Detect/Reset, DMA, I²S, POR, PWM, WDT","114","2MB (2M x 8)","FLASH","-","384K x 8","1.62V ~ 3.6V","A/D 24x12b; D/A 2x12b","Internal","-40°C ~ 105°C (TA)","Surface Mount","144-LFBGA","144-LFBGA (10x10)"
"https://www.infineon.com/dgdl/Infineon-XMC4700-XMC4800-DS-v01_00-EN.pdf?fileId=5546d462518ffd850151908ea8db00b3","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/144-TQFP.jpg","XMC4800F144K2048AAXQMA1-ND","XMC4800F144K2048AAXQMA1","Infineon Technologies","Infineon Technologies","IC MCU 32BIT 2MB FLASH 144LQFP","1,315","25.34","0","1","Tray","XMC4000","Active","ARM® Cortex®-M4","32-Bit Single-Core","144MHz","CANbus, EBI/EMI, Ethernet, I²C, LINbus, MMC/SD, SPI, UART/USART, USB OTG, USIC","DMA, I²S, LED, POR, Touch-Sense, WDT","119","2MB (2M x 8)","FLASH","-","352K x 8","3.13V ~ 3.63V","A/D 32x12b; D/A 2x12b","External","-40°C ~ 125°C (TA)","Surface Mount","144-LQFP Exposed Pad","PG-LQFP-144-24"
"https://www.renesas.com/us/en/document/dst/rzt1-m-datasheet","//media.digikey.com/Renders/Renesas%20Tech%20Renders/559;-PRBG0320GA-A;-;-320.jpg","R7S910018CBG#AC0-ND","R7S910018CBG#AC0","Renesas Electronics America Inc","Renesas Electronics America Inc","IC MCU 32BIT ROMLESS 320FBGA","361","49.72","0","1","Tray","RZ/T1","Active","ARM® Cortex®-R4F","32-Bit Single-Core","600MHz","CANbus, CSI, EBI/EMI, Ethernet, I²C, SPI, UART/USART, USB","DMA, POR, PWM, WDT","209","-","ROMless","-","1.5M x 8","1.14V ~ 3.6V","A/D 24x12b","Internal","-40°C ~ 125°C (TA)","Surface Mount","320-FBGA","320-FBGA (17x17)"
"https://www.nuvoton.com/resource-files/DS_M480_Series_EN_Rev2.00.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/64-LQFP.jpg","M487SIDAE-ND","M487SIDAE","Nuvoton Technology Corporation","Nuvoton Technology Corporation","IC MCU 32BIT 512KB FLASH 64LQFP","312","6.97","0","1","Tray","NuMicro™ M480","Active","ARM® Cortex®-M4F","32-Bit Single-Core","192MHz","CANbus, EBI/EMI, Ethernet, I²C, LINbus, SCI, SmartCard, SPI, USB","Brown-out Detect/Reset, DMA, I²S, LCD, LVR, POR, PWM, WDT","44","512KB (512K x 8)","FLASH","-","160K x 8","1.8V ~ 3.6V","A/D 16x12b; D/A 2x12b","External, Internal","-40°C ~ 105°C (TA)","Surface Mount","64-LQFP","64-LQFP (7x7)"
"https://ww1.microchip.com/downloads/en/DeviceDoc/39762f.pdf","//media.digikey.com/Renders/Microchip%20Tech%20Renders/150~64TQFP-10x10~~64.JPG","PIC18F66J60-I/PT-ND","PIC18F66J60-I/PT","Microchip Technology","Microchip Technology","IC MCU 8BIT 64KB FLASH 64TQFP","1,907","6.99","0","1","Tray","PIC® 18J","Active","PIC","8-Bit","41.667MHz","Ethernet, I²C, SPI, UART/USART","Brown-out Detect/Reset, POR, PWM, WDT","39","64KB (32K x 16)","FLASH","-","3808 x 8","2V ~ 3.6V","A/D 11x10b","Internal","-40°C ~ 85°C (TA)","Surface Mount","64-TQFP","64-TQFP (10x10)"
"https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-11157-32-bit-Cortex-M4-Microcontroller-SAM4E16-SAM4E8_Datasheet.pdf","//media.digikey.com/Renders/Atmel%20Renders/313;100LQFP-1.6-14x14;;100.jpg","ATSAM4E8CB-AN-ND","ATSAM4E8CB-AN","Microchip Technology","Microchip Technology","IC MCU 32BIT 512KB FLASH 100LQFP","234","9.15","0","1","Tray","SAM4E","Active","ARM® Cortex®-M4","32-Bit Single-Core","120MHz","CANbus, Ethernet, IrDA, MMC/SD, SPI, UART/USART, USB","Brown-out Detect/Reset, DMA, POR, PWM, WDT","79","512KB (512K x 8)","FLASH","-","128K x 8","1.62V ~ 3.6V","A/D 16x12b; D/A 2x12b","Internal","-40°C ~ 105°C (TA)","Surface Mount","100-LQFP","100-LQFP (14x14)"
